[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   35    0    0    2 / 1000     0.1s test_prop_MultiPreserve (collecting)
[ ]   59    0    0    4 / 1000     0.9s test_prop_MultiPreserve (collecting)
[ ]   75    0    0    6 / 1000     1.3s test_prop_MultiPreserve (collecting)
[ ]   79    0    0    6 / 1000     1.4s test_prop_MultiPreserve (collecting)
[ ]   98    0    0    6 / 1000     2.2s test_prop_MultiPreserve (collecting)
[ ]  119    0    0    9 / 1000     2.3s test_prop_MultiPreserve (collecting)
[ ]  120    0    0    9 / 1000     2.5s test_prop_MultiPreserve (collecting)
[ ]  126    0    0    9 / 1000     3.4s test_prop_MultiPreserve (collecting)
[ ]  132    0    0   11 / 1000     3.5s test_prop_MultiPreserve (collecting)
[ ]  169    0    0   16 / 1000     3.7s test_prop_MultiPreserve (collecting)
[ ]  172    0    0   16 / 1000     4.6s test_prop_MultiPreserve (collecting)
[ ]  187    0    0   17 / 1000     4.7s test_prop_MultiPreserve (collecting)
[ ]  202    0    0   18 / 1000     4.9s test_prop_MultiPreserve (collecting)
[ ]  255    0    0   23 / 1000     5.3s test_prop_MultiPreserve (collecting)
[ ]  302    0    0   27 / 1000     5.4s test_prop_MultiPreserve (collecting)
[ ]  316    0    0   28 / 1000     6.2s test_prop_MultiPreserve (collecting)
[ ]  324    0    0   28 / 1000     6.9s test_prop_MultiPreserve (collecting)
[ ]  345    0    0   32 / 1000     7.2s test_prop_MultiPreserve (collecting)
[ ]  373    0    0   35 / 1000     7.5s test_prop_MultiPreserve (collecting)
[ ]  386    0    0   37 / 1000     8.3s test_prop_MultiPreserve (collecting)
[ ]  404    0    0   37 / 1000     8.4s test_prop_MultiPreserve (collecting)
[ ]  442    0    0   39 / 1000     8.5s test_prop_MultiPreserve (collecting)
[ ]  454    0    0   39 / 1000     9.3s test_prop_MultiPreserve (collecting)
[ ]  471    0    0   42 / 1000    11.5s test_prop_MultiPreserve (collecting)
[ ]  473    0    0   42 / 1000    11.7s test_prop_MultiPreserve (collecting)
[ ]  490    0    0   42 / 1000    11.8s test_prop_MultiPreserve (collecting)
[ ]  491    0    0   42 / 1000    14.4s test_prop_MultiPreserve (collecting)
[ ]  511    0    0   45 / 1000    15.5s test_prop_MultiPreserve (collecting)
[ ]  542    0    0   47 / 1000    15.9s test_prop_MultiPreserve (collecting)
[ ]  548    0    0   48 / 1000    18.1s test_prop_MultiPreserve (collecting)
[ ]  575    0    0   49 / 1000    18.7s test_prop_MultiPreserve (collecting)
[ ]  583    0    0   50 / 1000    21.4s test_prop_MultiPreserve (collecting)
[ ]  613    0    0   51 / 1000    21.6s test_prop_MultiPreserve (collecting)
[ ]  617    0    0   52 / 1000    22.4s test_prop_MultiPreserve (collecting)
[ ]  662    0    0   56 / 1000    22.5s test_prop_MultiPreserve (collecting)
[ ]  676    0    0   58 / 1000    22.6s test_prop_MultiPreserve (collecting)
[ ]  681    0    0   58 / 1000    25.0s test_prop_MultiPreserve (collecting)
[ ]  696    0    0   59 / 1000    25.1s test_prop_MultiPreserve (collecting)
[ ]  716    0    0   61 / 1000    25.2s test_prop_MultiPreserve (collecting)
[ ]  741    0    0   67 / 1000    25.8s test_prop_MultiPreserve (collecting)
[ ]  772    0    0   69 / 1000    26.8s test_prop_MultiPreserve (collecting)
[ ]  800    0    0   72 / 1000    29.2s test_prop_MultiPreserve (collecting)
[ ]  802    0    0   72 / 1000    31.5s test_prop_MultiPreserve (collecting)
[ ]  807    0    0   72 / 1000    31.6s test_prop_MultiPreserve (collecting)
[ ]  808    0    0   72 / 1000    32.0s test_prop_MultiPreserve (collecting)
[ ]  836    0    0   73 / 1000    32.2s test_prop_MultiPreserve (collecting)
[ ]  876    0    0   77 / 1000    32.3s test_prop_MultiPreserve (collecting)
[ ]  895    0    0   79 / 1000    32.4s test_prop_MultiPreserve (collecting)
[ ]  901    0    0   79 / 1000    34.8s test_prop_MultiPreserve (collecting)
[ ]  913    0    0   79 / 1000    35.8s test_prop_MultiPreserve (collecting)
[ ]  945    0    0   80 / 1000    35.9s test_prop_MultiPreserve (collecting)
[ ] 1007    0    0   81 / 1000    36.0s test_prop_MultiPreserve (collecting)
[ ] 1041    0    0   82 / 1000    36.1s test_prop_MultiPreserve (collecting)
[ ] 1074    0    0   85 / 1000    37.1s test_prop_MultiPreserve (collecting)
[ ] 1134    0    0   89 / 1000    39.7s test_prop_MultiPreserve (collecting)
[ ] 1153    0    0   89 / 1000    39.8s test_prop_MultiPreserve (collecting)
[ ] 1155    0    0   90 / 1000    39.9s test_prop_MultiPreserve (collecting)
[ ] 1189    0    0   93 / 1000    41.0s test_prop_MultiPreserve (collecting)
